	Time 	message
	December 26th 2019, 15:37:15.111	1CN-0106 | 2019-12-26 15:37:15,110 | 10 | create_flask_app.py:114 | {'authToken': 'eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE1NzczNzQ2OTUsImlhdCI6MTU3NzM3NDYzNX0.ZpiFYjJ-f6_YGQ5W9sdskMQ2wUcfOBeP4N3ur870ZnG7qL7vLn5fHwQ94_ftrHTYR-AGljqYmzQKVXGgLGdXwg5dRaDnejPB7IbbiHI6jXqaFYZpSRTxOHqtKQDsI_P0flVJ__aunBdWetN-ZgMWg54KQSnzRB0qR2jqkkxBTbfyoeSdzzyhrGW_EIEun5RpPgIPhGxE7e7iSD6iKZntUnU-eBYqL3R91V30TkJByfIsYyFSXR8EQAr5F5pMesuT4ttkN4jaNtyqWabywciWV3Ti1EMGxltQ3OJ8xtTHlUTQ3Oynhdjxxq58g7oFIcuBgYguhdQl-D61-xoM6YGsZQ', 'entity': {'aliases': [], 'attributes': [{'jwt': 'eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdHRyaWJ1dGUiOiJodHRwczovL2FwaS52aXJ0cnUuY29tL2F0dHIvZGVmYXVsdC92YWx1ZS9kZWZhdWx0IiwiZGlzcGxheU5hbWUiOiJERUZBVUxUIiwia2FzVXJsIjoiaHR0cHM6Ly9hcGktZGV2ZWxvcDAxLmRldmVsb3AudmlydHJ1LmNvbS9rYXMiLCJwdWJLZXkiOiItLS0tLUJFR0lOIENFUlRJRklDQVRFLS0tLS1cbk1JSURzakNDQXBxZ0F3SUJBZ0lVWmZFNE5SUC9FWE9UaTFCQ0hLK1RhL2JMMlJRd0RRWUpLb1pJaHZjTkFRRU1cbkJRQXdjREVMTUFrR0ExVUVCaE1DVlZNeEN6QUpCZ05WQkFnTUFrUkRNUk13RVFZRFZRUUhEQXBYWVhOb2FXNW5cbmRHOXVNUTh3RFFZRFZRUUtEQVpXYVhKMGNuVXhEREFLQmdOVkJBTU1BMnRoY3pFZ01CNEdDU3FHU0liM0RRRUpcbkFSWVJaR1YyYjNCelFIWnBjblJ5ZFM1amIyMHdJQmNOTVRneE1ESTJNRFV4TkRBeFdoZ1BNekF4T0RBeU1qWXdcbk5URTBNREZhTUhBeEN6QUpCZ05WQkFZVEFsVlRNUXN3Q1FZRFZRUUlEQUpFUXpFVE1CRUdBMVVFQnd3S1YyRnpcbmFHbHVaM1J2YmpFUE1BMEdBMVVFQ2d3R1ZtbHlkSEoxTVF3d0NnWURWUVFEREFOcllYTXhJREFlQmdrcWhraUdcbjl3MEJDUUVXRVdSbGRtOXdjMEIyYVhKMGNuVXVZMjl0TUlJQklqQU5CZ2txaGtpRzl3MEJBUUVGQUFPQ0FROEFcbk1JSUJDZ0tDQVFFQTBoSGVMZmZTWWZJTUYvTU5qMEkyM2ZpL3poUmpBd0NmdTFid29vS2krTC9EWmJnWC9ibWxcbjQyMzUyUU93cEFBWkZuSS9JZnA1NStTMWNCdUZKRk5mdXFyM2pnN0FRUEFnT1g3WFVuREJpMWc5R2pJeXpnaTdcbkNFdSsxa1pLanFoZ2FFc1VTdlV5ZjdON2pqc3loSi83Q0xPeXhCMGpoVWQ5eEpmT1RSVmhwbGdROGxoVkxab2FcbkUvTnFCdHBqeFQzeEc2NnVqb3VvMEdUL1V6dnRpVkw1OGtPSGgyazVvOE5VK05LMEkvWVlPSjVRYStVOU9NTmlcblk5Q0NVdWlNYW5BMXJQdUw2THFTL0VmUHdFU3FRL2cxckh6U1NwRkl4Y1ozdDY5U0htZVkydDFoTWZWWFAzR1VcbnZsWWJsMHR5ZDArd0VML0NqOWNVVU9zeDhBcnhQYkJROVFJREFRQUJvMEl3UURBZEJnTlZIUTRFRmdRVVBIMUNcbk1Rc1Z5eG14VVR4M08rY3BRMU04NElFd0h3WURWUjBqQkJnd0ZvQVVQSDFDTVFzVnl4bXhVVHgzTytjcFExTThcbjRJRXdEUVlKS29aSWh2Y05BUUVNQlFBRGdnRUJBRU40Y1RvT3d1UXQ1T0xPZGdpV3BRdEdKTDFGWWFlY0tQbFpcbk5pRkd5SFAyUmdsY3hLa0JRSyt0dE8yQlZhMFA3WHRxaTMzcFF6UnZ1eUZZRmJUSjFRRzNHRTZGZksvNWpwSW9cbkdqZi9vajZYN0VaMWpNdklVR21ja3pRaFo2elhDZUNFaWwzbVdUQkdTOW5LdHMrYmJ1Qlp0R3h4dUlCZHIzRFNcblJMMjZwNlFhRUtiUlpBQTQxRHJSZlNpTDNZakI3RDU0TWtDdWVHbkp6K0JxSEpDZnJFbDZzT1NyRGZFMmtyOE1cbjAwUTZnOCtnNjF4MUl0SnhYYUxzZng3Q0Naend3NzFjQ2YyTFA1c2UrT290TllManp2UWhiUWVWZ2h4TGJtTnJcbjNCRWI0TEdnaUxPbHhFbFpoaG8xWTVJb3RIY3VSb1F5THF2akl5YkVsOUxaOFBVR1YyQT1cbi0tLS0tRU5EIENFUlRJRklDQVRFLS0tLS1cbiIsImlzRGVmYXVsdCI6dHJ1ZSwiaWF0IjoxNTc3Mzc0NjMzLCJleHAiOjE1Nzc0NjEwMzN9.bHRgKVyAiH9-k0lbQFqYiLNg4_H1lVsSHirKLv3rwPVC6bkLj0fbKqT6ta2PdulJoFrBehhF3aJqu69vZ4sWrJo58m3GU6OHUlfdmBbezGBw2CM7C2GHEAsHyxjqGEmg-tTtwgwYKuQah-2YmyHWgtuqlLdo8o-7Go1bJnFttzvB9LXe2-2Kzmc11NgeJvTdO4ogG_6etcYVJwo0RQParZVoMCZXexrdt7Kd9byvrr-l7f3xaEUYIsBTloRbqcs9Funzh9tvTrYPfDR9HUsStXadfZudo1m2phyCdNP5AvI1NBJfwFXLsqbTp_jg5wirmbdmCtMjk_EqR4sjv9ac3A'}], 'cert': 'eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJ0ZGYzLXVzZXJAdmlydHJ1Y2FuYXJ5LmNvbSIsImF0dHJpYnV0ZXMiOlt7Imp3dCI6ImV5SmhiR2NpT2lKU1V6STFOaUlzSW5SNWNDSTZJa3BYVkNKOS5leUpoZEhSeWFXSjFkR1VpT2lKb2RIUndjem92TDJGd2FTNTJhWEowY25VdVkyOXRMMkYwZEhJdlpHVm1ZWFZzZEM5MllXeDFaUzlrWldaaGRXeDBJaXdpWkdsemNHeGhlVTVoYldVaU9pSkVSVVpCVlV4VUlpd2lhMkZ6VlhKc0lqb2lhSFIwY0hNNkx5OWhjR2t0WkdWMlpXeHZjREF4TG1SbGRtVnNiM0F1ZG1seWRISjFMbU52YlM5cllYTWlMQ0p3ZFdKTFpYa2lPaUl0TFMwdExVSkZSMGxPSUVORlVsUkpSa2xEUVZSRkxTMHRMUzFjYmsxSlNVUnpha05EUVhCeFowRjNTVUpCWjBsVldtWkZORTVTVUM5RldFOVVhVEZDUTBoTEsxUmhMMkpNTWxKUmQwUlJXVXBMYjFwSmFIWmpUa0ZSUlUxY2JrSlJRWGRqUkVWTVRVRnJSMEV4VlVWQ2FFMURWbFpOZUVONlFVcENaMDVXUWtGblRVRnJVa1JOVWsxM1JWRlpSRlpSVVVoRVFYQllXVmhPYjJGWE5XNWNibVJIT1hWTlVUaDNSRkZaUkZaUlVVdEVRVnBYWVZoS01HTnVWWGhFUkVGTFFtZE9Wa0pCVFUxQk1uUm9ZM3BGWjAxQ05FZERVM0ZIVTBsaU0wUlJSVXBjYmtGU1dWSmFSMVl5WWpOQ2VsRklXbkJqYmxKNVpGTTFhbUl5TUhkSlFtTk9UVlJuZUUxRVNUSk5SRlY0VGtSQmVGZG9aMUJOZWtGNFQwUkJlVTFxV1hkY2JrNVVSVEJOUkVaaFRVaEJlRU42UVVwQ1owNVdRa0ZaVkVGc1ZsUk5VWE4zUTFGWlJGWlJVVWxFUVVwRlVYcEZWRTFDUlVkQk1WVkZRbmQzUzFZeVJucGNibUZIYkhWYU0xSjJZbXBGVUUxQk1FZEJNVlZGUTJkM1IxWnRiSGxrU0VveFRWRjNkME5uV1VSV1VWRkVSRUZPY2xsWVRYaEpSRUZsUW1kcmNXaHJhVWRjYmpsM01FSkRVVVZYUlZkU2JHUnRPWGRqTUVJeVlWaEtNR051VlhWWk1qbDBUVWxKUWtscVFVNUNaMnR4YUd0cFJ6bDNNRUpCVVVWR1FVRlBRMEZST0VGY2JrMUpTVUpEWjB0RFFWRkZRVEJvU0dWTVptWlRXV1pKVFVZdlRVNXFNRWt5TTJacEwzcG9VbXBCZDBObWRURmlkMjl2UzJrclRDOUVXbUpuV0M5aWJXeGNialF5TXpVeVVVOTNjRUZCV2tadVNTOUpabkExTlN0VE1XTkNkVVpLUms1bWRYRnlNMnBuTjBGUlVFRm5UMWczV0ZWdVJFSnBNV2M1UjJwSmVYcG5hVGRjYmtORmRTc3hhMXBMYW5Gb1oyRkZjMVZUZGxWNVpqZE9OMnBxYzNsb1NpODNRMHhQZVhoQ01HcG9WV1E1ZUVwbVQxUlNWbWh3YkdkUk9HeG9Wa3hhYjJGY2JrVXZUbkZDZEhCcWVGUXplRWMyTm5WcWIzVnZNRWRVTDFWNmRuUnBWa3cxT0d0UFNHZ3lhelZ2T0U1VkswNUxNRWt2V1ZsUFNqVlJZU3RWT1U5TlRtbGNibGs1UTBOVmRXbE5ZVzVCTVhKUWRVdzJUSEZUTDBWbVVIZEZVM0ZSTDJjeGNraDZVMU53UmtsNFkxb3pkRFk1VTBodFpWa3lkREZvVFdaV1dGQXpSMVZjYm5ac1dXSnNNSFI1WkRBcmQwVk1MME5xT1dOVlZVOXplRGhCY25oUVlrSlJPVkZKUkVGUlFVSnZNRWwzVVVSQlpFSm5UbFpJVVRSRlJtZFJWVkJJTVVOY2JrMVJjMVo1ZUcxNFZWUjRNMDhyWTNCUk1VMDRORWxGZDBoM1dVUldVakJxUWtKbmQwWnZRVlZRU0RGRFRWRnpWbmw0YlhoVlZIZ3pUeXRqY0ZFeFRUaGNialJKUlhkRVVWbEtTMjlhU1doMlkwNUJVVVZOUWxGQlJHZG5SVUpCUlU0MFkxUnZUM2QxVVhRMVQweFBaR2RwVjNCUmRFZEtUREZHV1dGbFkwdFFiRnBjYms1cFJrZDVTRkF5VW1kc1kzaExhMEpSU3l0MGRFOHlRbFpoTUZBM1dIUnhhVE16Y0ZGNlVuWjFlVVpaUm1KVVNqRlJSek5IUlRaR1prc3ZOV3B3U1c5Y2JrZHFaaTl2YWpaWU4wVmFNV3BOZGtsVlIyMWphM3BSYUZvMmVsaERaVU5GYVd3emJWZFVRa2RUT1c1TGRITXJZbUoxUWxwMFIzaDRkVWxDWkhJelJGTmNibEpNTWpad05sRmhSVXRpVWxwQlFUUXhSSEpTWmxOcFRETlpha0kzUkRVMFRXdERkV1ZIYmtwNkswSnhTRXBEWm5KRmJEWnpUMU55UkdaRk1tdHlPRTFjYmpBd1VUWm5PQ3RuTmpGNE1VbDBTbmhZWVV4elpuZzNRME5hZW5kM056RmpRMll5VEZBMWMyVXJUMjkwVGxsTWFucDJVV2hpVVdWV1oyaDRUR0p0VG5KY2JqTkNSV0kwVEVkbmFVeFBiSGhGYkZwb2FHOHhXVFZKYjNSSVkzVlNiMUY1VEhGMmFrbDVZa1ZzT1V4YU9GQlZSMVl5UVQxY2JpMHRMUzB0UlU1RUlFTkZVbFJKUmtsRFFWUkZMUzB0TFMxY2JpSXNJbWx6UkdWbVlYVnNkQ0k2ZEhKMVpTd2lhV0YwSWpveE5UYzNNemMwTmpNekxDSmxlSEFpT2pFMU56YzBOakV3TXpOOS5iSFJnS1Z5QWlIOS1rMGxiUUZxWWlMTmc0X0gxbFZzU0hpcktMdjNyd1BWQzZia0xqMGZiS3FUNnRhMlBkdWxKb0ZyQmVoaEYzYUpxdTY5dlo0c1dySm81OG0zR1U2T0hVbGZkbUJiZXpHQncyQ003QzJHSEVBc0h5eGpxR0VtZy10VHR3Z3dZS3VRYWgtMllteUhXZ3R1cWxMZG84by03R28xYkpuRnR0enZCOUxYZTItMkt6bWMxMU5nZUp2VGRPNG9nR182ZXRjWVZKd28wUlFQYXJaVm9NQ1pYZXhyZHQ3S2Q5Ynl2cnItbDdmM3hhRVVZSXNCVGxvUmJxY3M5RnVuemg5dHZUcllQZkRSOUhVc1N0WGFkZlp1ZG8xbTJwaHlDZE5QNUF2STFOQkpmd0ZYTHNxYlRwX2pnNXdpcm1iZG1DdE1qa19FcVI0c2p2OWFjM0EifV0sInB1YmxpY0tleSI6Ii0tLS0tQkVHSU4gUFVCTElDIEtFWS0tLS0tXG5NSUlCSWpBTkJna3Foa2lHOXcwQkFRRUZBQU9DQVE4QU1JSUJDZ0tDQVFFQXdDS1Zjd2t1VU9EWm1oRjd2SEdmXG5KUTA1TnpNU0toQnByQW1qamRuVDByQzBxUDhHL0JNOHFZb2RVUEpvZkIyYXNNRFVyUERRNE40K1pzOHBIaDNRXG5WaFFJaEkvSmUzMitnY0hRSU1Sbmh5ZXUxWkdvUWxsMW5RbEJZM0dkQysxR1FNeHBLT21Udncvc2ducTA1b0lLXG50dkdaMEQvK3g0QnVXbGY1U2FXWm8zZ3o4cE9DK2RhYnJ1b3dxYzFUNXVNc2RWR214clEzSHRRTm1WWmlGTXdSXG56Mlo3U3RhbGgzMC81VFNLRGRndm9haExqL0syUldjbVVIR1BrRVJnQ095WWZvZlZ5R2hOVHp1ak42ZmduWWRTXG5ZRyszRjdwMGpEOFA0VjdVSFZBUW80WjdaVWpMTnpleTF6YVJ0eUhiM2pONGFqNUlZN042N1k2NEk4dXJrZ0FIXG56UUlEQVFBQlxuLS0tLS1FTkQgUFVCTElDIEtFWS0tLS0tXG4iLCJhbGlhc2VzIjpbXSwiaWF0IjoxNTc3Mzc0NjMzLCJleHAiOjE1Nzc0NjEwMzN9.Lp9GJ7PV1MBSKSw6G9SsO7MKqCbfaaJspn67fJpyyhvZptgZtdvI33oQbYDxG-zOrX3RLUp2fH6eQmpdjIX8ktK0pwK0W2oLDtNJ0JAaDgFZnK4_PuUXF-WD0x_m614UriQsjMj_1FS-F5h7XsZNTFS8eDHuiXaMTz-jOVoYCzaefTd0-T77FJl15ypxxzVdJMULcxnVLadB5UFHmANmiTXnIpziOnwOW92hvKB4MQJqQhZUbojNm4c4ZCqGL5UIcCuHLFCzazYYeU38xsBQA1WiAErVZxTZ3tlR4olx7CLZintLRvTionC1hbnmgwy6DvsFYisiP7qrFfjuD6bvTQ', 'publicKey': '-----BEGIN PUBLIC KEY-----\nMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAwCKVcwkuUODZmhF7vHGf\nJQ05NzMSKhBprAmjjdnT0rC0qP8G/BM8qYodUPJofB2asMDUrPDQ4N4+Zs8pHh3Q\nVhQIhI/Je32+gcHQIMRnhyeu1ZGoQll1nQlBY3GdC+1GQMxpKOmTvw/sgnq05oIK\ntvGZ0D/+x4BuWlf5SaWZo3gz8pOC+dabruowqc1T5uMsdVGmxrQ3HtQNmVZiFMwR\nz2Z7Stalh30/5TSKDdgvoahLj/K2RWcmUHGPkERgCOyYfofVyGhNTzujN6fgnYdS\nYG+3F7p0jD8P4V7UHVAQo4Z7ZUjLNzey1zaRtyHb3jN4aj5IY7N67Y64I8urkgAH\nzQIDAQAB\n-----END PUBLIC KEY-----\n', 'userId': 'tdf3-user@virtrucanary.com'}, 'keyAccess': {'encryptedMetadata': 'eyJjaXBoZXJ0ZXh0IjoiYmY2NEl0c3JQTXRyNGhDU2xaWGp4NGpVUVYzcGpQK042aURzK2VwR3M4UU5ubjBMYTFrMVNQS3JIZ0hsRU9lY1p0Y2hqalRYeXhkU1d2NGN2WGozNHIyYW95LzgyR3Z4WEY2NUJvMmdlaFVYL0kwcE9PVGhya1orVkhoTzR5bnppbFByanFNdFY3MGwzWHl2aTh5L1A0NDZPT050VHBIZG9LSkwyK0pxZEdPa2xaQitPYlBCV0JxVXBWbU1XSDVWTmhFcnUvUkdjMVY3SWM5Tm9DMEZaVEZJTXlKYWpsRE1COHRPUmNrWnNKOVB3KzhuWkdMQlE3TUNVSzBHb0tXbnk5ZTduaFkzN05HNUswSTdhZmFXQ00zWlVrSFJ4dk9FVVg1dXM5NWg5aVBHazkwR24raEhDOFZicm8wRUsvQTc2WWdodzFYVXMzenRXWUxiV0tOZVdRPT0iLCJpdiI6ImJmNjRJdHNyUE10cjRoQ1MifQ==', 'policyBinding': 'OGM1YjFkNWI4OWNiYTE1YzlmZjhiZGUyYjM3MTZhYjliODJlZmFkNzZlY2U0M2RkM2FiM2JhMzlmZGI5ZWM1NA==', 'protocol': 'kas', 'type': 'remote', 'url': 'https://api-develop01.develop.virtru.com/kas', 'wrappedKey': 'LmFfAIplhK+Ba+RSsbfsE0r3mnYDl5BfDXvpxoG6TyEBgQVhYItDHnl0Ie83o3ITBKG2EnvQBwF05pU0OZQadXdvWvdiBlZzuvWpQVI2vXnAl2kidUbqtuX7uXNHs7UnMbLNIZaoMrOdybM54iaOHmzMQLK5JasN/Iqs7gwlTEZy/iUEQpypqfIYmAFv0SguBNJ38liXi0I/HrGt4vfLWpOmvgR32PAMXsjtDACsNTKuOVVmr92qkhNzozcp4Qe+UnmsrbI7pK6urhrGM6zDYbh4bYY7ArTmANRU8YeX9BizfUWOZiO3qWDYCrF5fJc/azPL7QbhlmGDvysQmYPvqg=='}, 'policy': 'eyJib2R5Ijp7ImRhdGFBdHRyaWJ1dGVzIjpbXSwiZGlzc2VtIjpbInRkZjMtdXNlckB2aXJ0cnVjYW5hcnkuY29tIl19LCJ1dWlkIjoiNTVmMGIxMmYtYWZmZC00YTE0LTg5NWUtNDQ5YThkYTI2YTljIn0='}
	December 26th 2019, 15:37:15.111	1CN-0106 | 2019-12-26 15:37:15,111 | 20 | get_keys_from_disk.py:27 | Getting public key from disk with path = /etc/kas/keys/aa.pem
	December 26th 2019, 15:37:15.111	1CN-0106 | 2019-12-26 15:37:15,111 | 10 | get_keys_from_disk.py:46 | Attempting to returndeserialize key
	December 26th 2019, 15:37:15.111	1CN-0106 | 2019-12-26 15:37:15,111 | 10 | get_keys_from_disk.py:36 | Key file final path = /etc/kas/keys/aa.pem
	December 26th 2019, 15:37:15.112	1CN-0106 | 2019-12-26 15:37:15,111 | 10 | get_keys_from_disk.py:52 | Deserialization failed; loading cert
	December 26th 2019, 15:37:15.112	1CN-0106 | 2019-12-26 15:37:15,112 | 10 | get_keys_from_disk.py:57 | Cert check passed, returning key
	December 26th 2019, 15:37:15.114	1CN-0106 | 2019-12-26 15:37:15,114 | 10 | policy.py:68 | Data attributes = []
	December 26th 2019, 15:37:15.114	1CN-0106 | 2019-12-26 15:37:15,114 | 10 | policy.py:92 | canonical = eyJib2R5Ijp7ImRhdGFBdHRyaWJ1dGVzIjpbXSwiZGlzc2VtIjpbInRkZjMtdXNlckB2aXJ0cnVjYW5hcnkuY29tIl19LCJ1dWlkIjoiNTVmMGIxMmYtYWZmZC00YTE0LTg5NWUtNDQ5YThkYTI2YTljIn0=
	December 26th 2019, 15:37:15.114	1CN-0106 | 2019-12-26 15:37:15,113 | 10 | policy.py:90 | ---- Constructing Policy ---
	December 26th 2019, 15:37:15.114	1CN-0106 | 2019-12-26 15:37:15,114 | 10 | policy.py:91 | uuid = 55f0b12f-affd-4a14-895e-449a8da26a9c
	December 26th 2019, 15:37:15.114	1CN-0106 | 2019-12-26 15:37:15,114 | 10 | policy.py:72 | Dissem = ['tdf3-user@virtrucanary.com']
	December 26th 2019, 15:37:15.115	1CN-0106 | 2019-12-26 15:37:15,114 | 20 | get_keys_from_disk.py:72 | Getting private key from disk with path = /etc/kas/keys/kas.key
	December 26th 2019, 15:37:15.115	1CN-0106 | 2019-12-26 15:37:15,115 | 10 | key_access_helpers.py:35 | KeyAccessObject.type =
	December 26th 2019, 15:37:15.115	1CN-0106 | 2019-12-26 15:37:15,115 | 10 | key_access.py:119 | Setting type to = remote
	December 26th 2019, 15:37:15.115	1CN-0106 | 2019-12-26 15:37:15,115 | 10 | key_access.py:164 | Setting protocol to = kas
	December 26th 2019, 15:37:15.115	1CN-0106 | 2019-12-26 15:37:15,115 | 10 | key_access.py:113 | Accessing type = remote
	December 26th 2019, 15:37:15.115	1CN-0106 | 2019-12-26 15:37:15,114 | 10 | get_keys_from_disk.py:80 | Key file final path = /etc/kas/keys/kas.key
	December 26th 2019, 15:37:15.115	1CN-0106 | 2019-12-26 15:37:15,115 | 10 | key_access.py:176 | Accessing wrapped key = LmFfAIplhK+Ba+RSsbfsE0r3mnYDl5BfDXvpxoG6TyEBgQVhYItDHnl0Ie83o3ITBKG2EnvQBwF05pU0OZQadXdvWvdiBlZzuvWpQVI2vXnAl2kidUbqtuX7uXNHs7UnMbLNIZaoMrOdybM54iaOHmzMQLK5JasN/Iqs7gwlTEZy/iUEQpypqfIYmAFv0SguBNJ38liXi0I/HrGt4vfLWpOmvgR32PAMXsjtDACsNTKuOVVmr92qkhNzozcp4Qe+UnmsrbI7pK6urhrGM6zDYbh4bYY7ArTmANRU8YeX9BizfUWOZiO3qWDYCrF5fJc/azPL7QbhlmGDvysQmYPvqg==
	December 26th 2019, 15:37:15.115	1CN-0106 | 2019-12-26 15:37:15,115 | 10 | wrapped_key.py:24 | ------ Unpacking Wrapped Key
	December 26th 2019, 15:37:15.115	1CN-0106 | 2019-12-26 15:37:15,114 | 10 | get_keys_from_disk.py:89 | Attempting to return deserialized key
	December 26th 2019, 15:37:15.115	1CN-0106 | 2019-12-26 15:37:15,114 | 20 | key_access.py:51 | Constructing Key Access Object with
	December 26th 2019, 15:37:15.115	1CN-0106 | 2019-12-26 15:37:15,115 | 10 | key_access.py:185 | Setting wrapped_key to = LmFfAIplhK+Ba+RSsbfsE0r3mnYDl5BfDXvpxoG6TyEBgQVhYItDHnl0Ie83o3ITBKG2EnvQBwF05pU0OZQadXdvWvdiBlZzuvWpQVI2vXnAl2kidUbqtuX7uXNHs7UnMbLNIZaoMrOdybM54iaOHmzMQLK5JasN/Iqs7gwlTEZy/iUEQpypqfIYmAFv0SguBNJ38liXi0I/HrGt4vfLWpOmvgR32PAMXsjtDACsNTKuOVVmr92qkhNzozcp4Qe+UnmsrbI7pK6urhrGM6zDYbh4bYY7ArTmANRU8YeX9BizfUWOZiO3qWDYCrF5fJc/azPL7QbhlmGDvysQmYPvqg==
	December 26th 2019, 15:37:15.115	1CN-0106 | 2019-12-26 15:37:15,115 | 10 | key_access_helpers.py:38 | KeyAccessObject.url =
	December 26th 2019, 15:37:15.115	1CN-0106 | 2019-12-26 15:37:15,115 | 10 | key_access.py:135 | Setting url to = https://api-develop01.develop.virtru.com/kas
	December 26th 2019, 15:37:15.115	1CN-0106 | 2019-12-26 15:37:15,115 | 10 | key_access_helpers.py:41 | KeyAccessObject.protocol =
	December 26th 2019, 15:37:15.118	1CN-0106 | 2019-12-26 15:37:15,117 | 10 | wrapped_key.py:29 | ------ Wrapped Key construction complete
	December 26th 2019, 15:37:15.118	1CN-0106 | 2019-12-26 15:37:15,118 | 10 | key_access.py:152 | Setting policy binding to = OGM1YjFkNWI4OWNiYTE1YzlmZjhiZGUyYjM3MTZhYjliODJlZmFkNzZlY2U0M2RkM2FiM2JhMzlmZGI5ZWM1NA==
	December 26th 2019, 15:37:15.118	1CN-0106 | 2019-12-26 15:37:15,118 | 10 | key_access.py:146 | Accessing binding = OGM1YjFkNWI4OWNiYTE1YzlmZjhiZGUyYjM3MTZhYjliODJlZmFkNzZlY2U0M2RkM2FiM2JhMzlmZGI5ZWM1NA==
	December 26th 2019, 15:37:15.118	1CN-0106 | 2019-12-26 15:37:15,118 | 10 | wrapped_key.py:66 | b'eyJib2R5Ijp7ImRhdGFBdHRyaWJ1dGVzIjpbXSwiZGlzc2VtIjpbInRkZjMtdXNlckB2aXJ0cnVjYW5hcnkuY29tIl19LCJ1dWlkIjoiNTVmMGIxMmYtYWZmZC00YTE0LTg5NWUtNDQ5YThkYTI2YTljIn0='
	December 26th 2019, 15:37:15.118	1CN-0106 | 2019-12-26 15:37:15,118 | 10 | key_access_helpers.py:78 | hmac message = b'eyJib2R5Ijp7ImRhdGFBdHRyaWJ1dGVzIjpbXSwiZGlzc2VtIjpbInRkZjMtdXNlckB2aXJ0cnVjYW5hcnkuY29tIl19LCJ1dWlkIjoiNTVmMGIxMmYtYWZmZC00YTE0LTg5NWUtNDQ5YThkYTI2YTljIn0='
	December 26th 2019, 15:37:15.118	1CN-0106 | 2019-12-26 15:37:15,118 | 10 | key_access_helpers.py:79 | hmac binding = b'8c5b1d5b89cba15c9ff8bde2b3716ab9b82efad76ece43dd3ab3ba39fdb9ec54'
	December 26th 2019, 15:37:15.118	1CN-0106 | 2019-12-26 15:37:15,118 | 10 | wrapped_key.py:67 | b'8c5b1d5b89cba15c9ff8bde2b3716ab9b82efad76ece43dd3ab3ba39fdb9ec54'
	December 26th 2019, 15:37:15.118	1CN-0106 | 2019-12-26 15:37:15,118 | 10 | hmac.py:34 | msg = b'eyJib2R5Ijp7ImRhdGFBdHRyaWJ1dGVzIjpbXSwiZGlzc2VtIjpbInRkZjMtdXNlckB2aXJ0cnVjYW5hcnkuY29tIl19LCJ1dWlkIjoiNTVmMGIxMmYtYWZmZC00YTE0LTg5NWUtNDQ5YThkYTI2YTljIn0='
